Industry ID,Industry,Year,Industry Jobs
"531","Real Estate",2006,1498900
"531","Real Estate",2008,1485000
"531","Real Estate",2009,1420100
"531","Real Estate",2011,1400800
"531","Real Estate",2012,1420000
"531","Real Estate",2016,1559400
"531","Real Estate",2018,1661100
"531","Real Estate",2019,1718100
"531","Real Estate",2021,1747200
"531","Real Estate",2022,1819000
"531","Real Estate",2023,1857600
"531","Real Estate",2026,1670400
"531","Real Estate",2028,1763600
"531","Real Estate",2029,1726400
"531","Real Estate",2031,1784200
"531","Real Estate",2032,1925900
"531","Real Estate",2033,1932300
,"National",2006,
,"National",2008,
,"National",2009,
,"National",2011,
,"National",2012,
,"National",2016,
,"National",2018,
,"National",2019,
,"National",2021,
,"National",2022,
,"National",2023,
,"National",2026,
,"National",2028,
,"National",2029,
,"National",2031,
,"National",2032,
,"National",2033,
